JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Technical Architect,https://www.instahyre.com/job-327525-technical-architect-at-phonepe-bangalore/,Bangalore,PhonePe,BHIM UPI based App to provide a cashless and a seamless payment experience,2015.0,1000,"PhonePe is a BHIM UPI enabled mobile payments app company which has build a platform for easy, safe and universal transfer of cash. Recently, PhonePe has developed a Point-Of-Sale system for stores in India. ",327525,Java,Data Structures,Algorithms,Kubernetes,,,,,,
Senior Product Manager,https://www.instahyre.com/job-329272-senior-product-manager-at-shopse-2-gurgaon/,Gurgaon,ShopSe,Explore the best of life,2019.0,200,ShopSe Business is a simple app that helps you boost sales by providing instant affordable No Cost EMI options to your customers making it easy & affordable fo to get discovered. ,329272,Product Management,Loans,Enterprise Software,,,,,,,
IT Service Desk Technician,https://www.instahyre.com/job-329439-it-service-desk-technician-at-fortanix-bangalore/,Bangalore,Fortanix,Confidential Computing,2016.0,10,"Fortanix is a Computer & Network Security company that has expertise in Runtime Encryption, Intel SGX, Self-Defending Key Management Service, HSM as a service, etc. ",329439,IT Infrastructure,IT Support,ITIL,Linux,Networking,Virtualization,Windows,,,
Software Engineer,https://www.instahyre.com/job-329914-software-engineer-at-optum-hyderabad-noida/,"Hyderabad,Noida",Optum,Delivering care aided by technology and data,2010.0,1000,Optum is a health-tech company that provides technology and business process solutions that enable healthcare organizations to modernize their technology infrastructure and improve the health outcomes of millions. ,329914,Java,Node.js,,,,,,,,
PHP Laravel Developer,https://www.instahyre.com/job-328255-php-laravel-developer-at-hackerkernel-bhopal/,Bhopal,HackerKernel,Bridging start-ups and enterprises with the digital world,2015.0,10,"HackerKernel is a software firm that caters to web and mobile application development, UI/UX designing, cloud development, automation, AI, eCommerce, ERP, and CRM, needs of startups and MNCs globally. ",328255,PHP,Laravel,JavaScript,jQuery,HTML,,,,,
Senior Product Manager,https://www.instahyre.com/job-143689-senior-product-manager-at-media-gurgaon-mumbai/,"Gurgaon,Mumbai",Media.net,2nd largest contextual advertising business worldwide,2010.0,1000,Media.net is one of the world's leading ad-tech companies provides a wide range of advertising and traffic monetization solutions. It was acquired in 2016 by a Chinese consortium for $900 Million. ,143689,Product Management,,,,,,,,,
SDE 3 (Backend),https://www.instahyre.com/job-322515-sde-3-backend-at-goglocal-bangalore/,Bangalore,goGlocal,Grow more by selling globally,2021.0,10,goGlocal is a global eCommerce exports start-up that is disrupting how brands sell internationally by offering international sales channels and exporting solutions to help brands and sellers reach new customers. ,322515,Python,Django,Flask,AWS,SQL,,,,,
Software Engineer II,https://www.instahyre.com/job-296766-software-engineer-ii-at-uber-bangalore/,Bangalore,Uber,We reimagine the way the world moves for the better,2009.0,1000,"Uber offers an online-ride hailing and on-demand service platform. The platform enables users to book various services like taxi-hailing, food-delivery, freight solutions, and more. ",296766,C,C++,Golang,Java,Python,,,,,
Talent Aquisition Partner - Startup,https://www.instahyre.com/job-328460-talent-aquisition-partner-startup-at-fortune-2-gurgaon/,Gurgaon,Fortune,Global media organization,1929.0,200,"Fortune is a global media and periodical publishing organization that helps readers, viewers, and attendees succeed by driving the business conversations and storytelling for a vast range of industry segments. ",328460,Recruitment,Social Media Marketing,IT Recruitment,Networking,,,,,,
Backend Developer,https://www.instahyre.com/job-268715-backend-developer-at-loco-work-from-home/,Work From Home,Loco,India ka apna gaming platform,2020.0,50,"Loco is a leading live game streaming platform made in India for the Indian gaming community. It enables people and enthusiasts to watch gaming streams of games like FIFA, CS GO, DOTA 2 all in one place. ",268715,Golang,Node.js,Python,Django,,,,,,
Engineering Manager,https://www.instahyre.com/job-328447-engineering-manager-at-simplotel-bangalore/,Bangalore,Simplotel,To simplify the life of hoteliers,2013.0,50,"Simplotel offers a cloud based platform for hotels & motels to give their services & manage their bookings through their web platform. Founders have worked at Amazon, Myntra, Zomato, etc. ",328447,Golang,Node.js,Python,Django,Flask,,,,,
Senior Fullstack Engineer,https://www.instahyre.com/job-326595-senior-fullstack-engineer-at-netspring-work-from-home/,Work From Home,NetSpring,The operational intelligence platform,2019.0,10,"NetSpring is a cloud application platform-as-a-service that leverages technology to offer use cases such as product and behavioral analytics, customer experience, IoT, financial risk management, and more. ",326595,React.js,Python,Node.js,JavaScript,CSS,,,,,
DevOps Engineer 2,https://www.instahyre.com/job-235151-devops-engineer-2-at-zepto-bangalore/,Bangalore,Zepto,Groceries delivered in 10 minutes,2021.0,1000,Zepto is an online grocery delivery platform that aims to deliver groceries in less than 10 minutes through its network of hyperlocal stores and optimized micro warehouses. ,235151,AWS,Ansible,Bash,CI - CD,Jenkins,Kubernetes,Python,Terraform,,
Java Developer,https://www.instahyre.com/job-330073-java-developer-at-neosoft-technologies-navi-mumbai/,Navi Mumbai,NeoSOFT Technologies,Global IT consulting & software solution,1996.0,1000,"NeoSOFT is a global IT consulting & software solutions provider specializing in Software Development Services, Mobile Application Development Services, Web Hosting Services, Web Development Services, etc.",330073,Java,Spring Boot,Microservices,,,,,,,
Tech Lead - Frontend,https://www.instahyre.com/job-329806-tech-lead-frontend-at-thena-bangalore/,Bangalore,Thena,We help to manage customers in slack,2022.0,1,"Thena is a customer engagement platform for Slack that organizes customer channels with request identification, connects to internal tools, allows customer escalations, notifies teams, and analyzes their behavior. ",329806,React.js,JavaScript,TypeScript,Angular,,,,,,
Principal Engineer,https://www.instahyre.com/job-325236-principal-engineer-at-atlassian-work-from-home/,Work From Home,Atlassian,Software Development & Collaboration tools,2002.0,1000,"Atlassian is an enterprise software firm that develops products for software developers, project managers, & content management; known for its issue tracking application, Jira, & team collaboration product, Confluence.",325236,.NET,C,C++,Java,Scala,C#,,,,
Android Developer,https://www.instahyre.com/job-115250-android-developer-at-loco-bangalore/,Bangalore,Loco,India ka apna gaming platform,2020.0,50,"Loco is a leading live game streaming platform made in India for the Indian gaming community. It enables people and enthusiasts to watch gaming streams of games like FIFA, CS GO, DOTA 2 all in one place. ",115250,Android,,,,,,,,,
Senior Software Engineer,https://www.instahyre.com/job-310096-senior-software-engineer-at-allen-career-institute-bangalore/,Bangalore,Allen,A premier coaching institute,1988.0,1000,"Allen is a coaching institute that offers classroom, distance learning, and online courses to students who are appearing for national-level entrance exams while operating across 35+ cities nationwide. ",310096,Golang,Data Structures,Algorithms,Java,,,,,,
Business Development Executive,https://www.instahyre.com/job-330056-business-development-executive-at-flixstock-gurgaon/,Gurgaon,FlixStock,Programmatic visual content,2015.0,200,"Offers a fashion catalog creation software for ecommerce companies. Retailers can take photos of products and upload on the cloud, and its proprietary technology post processes it, avoiding the need to hire models. Has raised $5 million in funding.",330056,Business Development,Corporate Sales,Sales,Telecalling,,,,,,
Android Engineer,https://www.instahyre.com/job-289266-android-engineer-at-juleo-bangalore/,Bangalore,Juleo,Leveraging AI to resolve consumer internet problems,2023.0,1,Juleo is a Delhi-based IT services company leveraging applied AI and consumer technology to develop solutions that empower large enterprises as well as startups to tackle technology and consumer internet problems. ,289266,Android,Flutter,,,,,,,,
Senior DevOps Engineer,https://www.instahyre.com/job-329077-senior-devops-engineer-at-lightup-data-bangalore/,Bangalore,Lightup Data,A no-code enterprise data quality platform,2019.0,10,"Lightup is a no-code data quality platform involved in quality checks, monitoring, and AI-driven anomaly detection alerts to enable enterprises to achieve 100% data quality coverage 10x faster than legacy tools. ",329077,DevOps,Kubernetes,AWS,Docker,Python,,,,,
Engineering Manager,https://www.instahyre.com/job-330092-engineering-manager-at-5day-ahmedabad/,Ahmedabad,5day.io,A project management platform that makes work fun,2022.0,10,"5day.io is an intelligent work management platform that empowers organizations to streamline project management, tasks, and collaboration by offering a single, integrated solution to automate manual processes. ",330092,Java,Microservices,AWS,Angular,Spring Boot,,,,,
Senior Business Analyst,https://www.instahyre.com/job-319351-senior-business-analyst-at-porter-bangalore/,Bangalore,Porter,Good For Goods,2014.0,500,"Porter, an online logistics marketplace, has raised US $5.5 Mn in series A funding from Sequoia, Kae and other investors. It aims to disrupt and organize the $6 Bn mini truck transportation market in India. ",319351,Python,SQL,AB Testing,Business Analysis,Product Management,,,,,
Senior Backend Engineer,https://www.instahyre.com/job-325638-senior-backend-engineer-at-jumbotail-bangalore/,Bangalore,Jumbotail,Organising Indian food and grocery ecosystem using technology and data science,2015.0,200,"Jumbotail is an online platform for wholesale buyers/retailers to procure their groceries, fruits and vegetables form producers/manufacturers. Founders are Stanford MBAs. The company has raised $2 million in VC funding.",325638,Java,Data Structures,Spring,Spring Boot,Hibernate,,,,,
Dotnet Developer,https://www.instahyre.com/job-330104-dotnet-developer-at-techmatters-technologies-3-mumbai/,Mumbai,Techmatters Technologies,Scaling Your Social Impact Using Cutting Edge Technology Solutions,2014.0,10,"Techmatters Technologies is an IT company that offers solutions to NGOs & Non-profit organizations. It has expertise in Customized Software, Web Application, Impact Assessment, Research Data, etc. ",330104,.NET,AWS,,,,,,,,
Team Leader,https://www.instahyre.com/job-324311-team-leader-at-eureka-outsourcing-solutions-bangalore/,Bangalore,Eureka Outsourcing Solutions,Going beyond consumer experience,1997.0,1000,"Eureka Outsourcing Solutions is an outsourcing organization that provides services related to Automotive, Banking, Healthcare, Insurance, Manufacturing, etc.",324311,Customer Service,BPO Operations,Customer Relationship,Employee Benefits,,,,,,
Business Development Executive,https://www.instahyre.com/job-329830-business-development-executive-at-pensol-bangalore-kolkata-mumbai/,"Bangalore,Kolkata,Mumbai",Pensol,Market leaders in automotive and industrial lubricants,1972.0,200,"Pensol is a manufacturer and supplier of automotive and industrial lubricants including greases, metalworking fluids, and refrigeration oils with 22 depots serving over 500 distributors and 1M+ satisfied customers. ",329830,Business Development,Direct Sales,Sales,,,,,,,
Lead - Digital Ad Sales,https://www.instahyre.com/job-327232-lead-digital-ad-sales-at-sharechat-mumbai/,Mumbai,ShareChat,Leading Social Media Platform in India,2015.0,500,"ShareChat is a social networking and regional content platform for India. It enables users to share content in their own language, follow local celebrities, and interact with content related to news, etc. ",327232,Advertising,Business Development,Corporate Sales,Digital Marketing,Display Advertising,Marketing,Sales,,,
Software Engineer,https://www.instahyre.com/job-159684-software-engineer-at-zepto-bangalore/,Bangalore,Zepto,Groceries delivered in 10 minutes,2021.0,1000,Zepto is an online grocery delivery platform that aims to deliver groceries in less than 10 minutes through its network of hyperlocal stores and optimized micro warehouses. ,159684,Amazon DynamoDB,Django,FastAPI,Flask,Golang,Java,MongoDB,Python,Spring,
Lead Engineer,https://www.instahyre.com/job-329997-lead-engineer-at-oolka-bangalore/,Bangalore,Oolka,Democratizing financial inclusion for all Indians,2023.0,10,"Oolka is a credit score builder platform collaborating with banks, financial institutions, and other entities to empower individuals for credit management, ensuring transparent reports for better financial health. ",329997,Java,Python,Django,Algorithms,Data Structures,,,,,
Frontend Engineer,https://www.instahyre.com/job-326714-frontend-engineer-at-lightup-data-bangalore/,Bangalore,Lightup Data,A no-code enterprise data quality platform,2019.0,10,"Lightup is a no-code data quality platform involved in quality checks, monitoring, and AI-driven anomaly detection alerts to enable enterprises to achieve 100% data quality coverage 10x faster than legacy tools. ",326714,React.js,JavaScript,HTML,CSS,,,,,,
Software Engineer II,https://www.instahyre.com/job-324383-software-engineer-ii-at-wayfair-bangalore/,Bangalore,Wayfair,Creating a feeling of home,2002.0,1000,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more. ",324383,Java,Spring,,,,,,,,
Customer Support Excutive,https://www.instahyre.com/job-324411-customer-support-excutive-at-eureka-outsourcing-solutions-bangalore/,Bangalore,Eureka Outsourcing Solutions,Going beyond consumer experience,1997.0,1000,"Eureka Outsourcing Solutions is an outsourcing organization that provides services related to Automotive, Banking, Healthcare, Insurance, Manufacturing, etc.",324411,Customer Service,Customer Relationship,,,,,,,,
Customer Care Executive,https://www.instahyre.com/job-324417-customer-care-executive-at-eureka-outsourcing-solutions-bangalore/,Bangalore,Eureka Outsourcing Solutions,Going beyond consumer experience,1997.0,1000,"Eureka Outsourcing Solutions is an outsourcing organization that provides services related to Automotive, Banking, Healthcare, Insurance, Manufacturing, etc.",324417,Customer Service,Customer Relationship,BPO Operations,,,,,,,
Frontend Developer,https://www.instahyre.com/job-327578-frontend-developer-at-lightup-data-bangalore/,Bangalore,Lightup Data,A no-code enterprise data quality platform,2019.0,10,"Lightup is a no-code data quality platform involved in quality checks, monitoring, and AI-driven anomaly detection alerts to enable enterprises to achieve 100% data quality coverage 10x faster than legacy tools. ",327578,React.js,JavaScript,HTML,CSS,,,,,,
Senior Dotnet Engineer,https://www.instahyre.com/job-315623-senior-dotnet-engineer-at-blenheim-chalcot-mumbai/,Mumbai,Blenheim Chalcot,We build digital businesses that transform industries,1998.0,1000,"Blenheim Chalcot is the UK's leading venture and startup builder that has built over 40 businesses in a variety of sectors, including technology, financial services, education, travel, software, sport, and media. ",315623,.NET,AWS,,,,,,,,
Sales Development Representative,https://www.instahyre.com/job-327117-sales-development-representative-at-klimb-work-from-home/,Work From Home,Klimb.io,For Proactive Organisations Who Want Better Control Of Recruiting Outcomes,2015.0,10,"Klimb provides a cloud-based recruitment process management suite. Offers a product that aims to bring speed and intelligence to recruitment, and a learning platform which helps recruiters with tech hiring.",327117,Sales,Corporate Sales,Business Development,Lead Generation,Lead Qualification,,,,,
SDE 4 - Backend,https://www.instahyre.com/job-264712-sde-4-backend-at-cleartrip-bangalore/,Bangalore,Cleartrip,Turning plans into trips,2006.0,500,"Cleartrip is a global online travel company that operates as an online travel aggregator for booking flights, train tickets, hotel reservations, and more while operating across India, UAE, Saudi Arabia and Egypt. ",264712,Spring,Java,Data Structures,Kafka,Microservices,,,,,
Frontend Developer,https://www.instahyre.com/job-329933-frontend-developer-at-techmatters-technologies-3-bangalore/,Bangalore,Techmatters Technologies,Scaling Your Social Impact Using Cutting Edge Technology Solutions,2014.0,10,"Techmatters Technologies is an IT company that offers solutions to NGOs & Non-profit organizations. It has expertise in Customized Software, Web Application, Impact Assessment, Research Data, etc. ",329933,React.js,Next.js,,,,,,,,
ML Engineer,https://www.instahyre.com/job-329867-ml-engineer-at-haptik-mumbai/,Mumbai,Haptik,AI That Puts Your Customers First,2014.0,200,"Haptik is a smartphone application that allows users to get information and request various services such as make a restaurant reservation, book tickets and cabs, etc. Has raised over $12 million from Times Internet and other investors and growing fast.",329867,Machine Learning,Python,MLOps,AWS,,,,,,
Software Engineer - Backend,https://www.instahyre.com/job-313991-software-engineer-backend-at-stage-noida/,Noida,Stage,"Company Nahin, Hum Kranti Hain",2019.0,50,"Stage is a hyper-local OTT platform that produces content such as long-duration web series, movies, short films, standup comedians, poetry, folk, and much more in dialects like Haryanvi and Rajasthani. ",313991,Node.js,AWS,Amazon DynamoDB,Express.js,MySQL,NestJS,PostgreSQL,SQL,TypeScript,
Account Executive - Finance,https://www.instahyre.com/job-328127-account-executive-finance-at-scaler-academy-bangalore/,Bangalore,Scaler Academy,Accelerate your tech career,2019.0,50,"Scaler Academy is a 6-month online career accelerator to help people to take their careers to the next level without any educational, geographical, or financial constraints. . ",328127,Accounting,Auditing,Finance,Financial Reporting,Internal Audit,Statutory Audit,Tally,,,
QA Engineer,https://www.instahyre.com/job-320078-qa-engineer-at-powerplay-bangalore/,Bangalore,Powerplay,Simplifying communication for construction,2020.0,50,"Powerplay helps builders, contractors, and workers in simplifying site-to-office communication and enables them to complete the projects on time and in the budget. ",320078,Manual Testing,SDET,,,,,,,,
Software Development Engineer 1,https://www.instahyre.com/job-185493-software-development-engineer-1-at-gameberry-labs-bangalore/,Bangalore,Gameberry Labs,"With 25M+ MAU, our games are thrilling adventure for designers, engineers",2017.0,50,Gameberry Labs is building the next-gen social games aimed at bringing people closer. Has successfully built a global user base for their first two games: Ludo STAR and Parcheesi STAR. ,185493,C,C++,Golang,Java,MySQL,,,,,
Application Engineer,https://www.instahyre.com/job-329861-application-engineer-at-flipkart-hyderabad/,Hyderabad,Flipkart,India's favourite online shopping destination,2007.0,1000,"India's leading e-commerce company. Founded in 2007 by IIT graduates, Flipkart is currently valued at over $15 billion and has raised over $3 billion in funding. Acquired fashion site Myntra in 2014.",329861,C++,Golang,Java,Python,,,,,,
Sr. SW Engineer (ML Infra),https://www.instahyre.com/job-327162-sr-sw-engineer-ml-infra-at-ola-3-bangalore/,Bangalore,Ola,Building mobility for a billion people,2011.0,1000,"Ola is the leading taxi aggregator that is working on various products such as bus aggregation and ride-sharing. It has raised around $1.2 billion in funding, with a valuation of over $5 billion. ",327162,MLOps,Python,LLMs,Machine Learning,Deployment,,,,,
Senior Backend Engineer,https://www.instahyre.com/job-329552-senior-backend-engineer-at-nium-hyderabad/,Hyderabad,NIUM,The global leader in on-demand money movement,2014.0,1000,"NIUM is a global payments platform that enables businesses to send, spend and receive money from around the world, helping SMEs, financial institutions, enterprises, and other payment service providers. ",329552,.NET,C++,Golang,Java,Python,C#,,,,
Senior Software Engineer - .NET,https://www.instahyre.com/job-305128-senior-software-engineer-net-at-locobuzz-mumbai/,Mumbai,Locobuzz,We are an integrated marketing and customer experience platform,2015.0,50,Locobuzz is a SaaS platform that converges with a range of the latest technologies to create a 360-degree marketing automation suite to provide a complete digital customer experience for varied verticals. ,305128,.NET,Azure,JavaScript,ASP.NET,,,,,,
Backend Java Product Engineer,https://www.instahyre.com/job-199766-backend-java-product-engineer-at-zingg-delhi-noida-work-from-home/,"Delhi,Noida,Work From Home",Zingg,Empowering identity and entity resolution solutions using ML,2021.0,1,"Zingg is an identity and entity resolution startup building an ML-powered single source of truth and unifying data for cross-selling and upselling, fraud and risk management, compliance, and regulatory reporting. ",199766,Java,,,,,,,,,
Backend Developer (Python),https://www.instahyre.com/job-212246-backend-developer-python-at-knowl-bangalore/,Bangalore,Knowl,AI platform for fintechs,2022.0,1,Knowl is a rapidly growing startup that is disrupting the developer productivity market by offering a documentation and collaboration platform that enables engineers to create documents that are linked to code. ,212246,Node.js,Python,Django,Flask,,,,,,
Quality Analyst,https://www.instahyre.com/job-324344-quality-analyst-at-eureka-outsourcing-solutions-bangalore/,Bangalore,Eureka Outsourcing Solutions,Going beyond consumer experience,1997.0,1000,"Eureka Outsourcing Solutions is an outsourcing organization that provides services related to Automotive, Banking, Healthcare, Insurance, Manufacturing, etc.",324344,Customer Service,Quality Assurance,,,,,,,,
Python Developer,https://www.instahyre.com/job-327997-python-developer-at-stancebeam-2-bangalore/,Bangalore,StanceBeam,Unleash your cricket potential,2017.0,10,"StanceBeam is a sports tech start-up that is creating an innovative platform for connected sports equipment to empower every player, coach, and sports fan globally to play sports and stay fit. ",327997,Django,Flask,FastAPI,,,,,,,
Business Development Manager,https://www.instahyre.com/job-329896-business-development-manager-at-geotrackers-mobile-resource-management-bangalore/,Bangalore,Geotrackers Mobile Resource Management,"Anytime, anywhere tracking",2007.0,50,"Geotrackers caters to using GPS, Wireless and IT, to deliver powerful location based services specializing in Wireless Mobility, VoIP, Mobile Applications to bring Mobile Resource Management Solutions. ",329896,Corporate Sales,Sales,,,,,,,,
Frontend Developer,https://www.instahyre.com/job-217001-frontend-developer-at-queuebuster-noida/,Noida,QueueBuster,Point of sale now made easy,2015.0,10,"QueueBuster is a mobile POS platform that offers a one-stop solution to the retail industry for managing their products, inventory, loyalty, billing, and CRM. ",217001,CSS,JavaScript,React.js,,,,,,,
Salesforce Developer,https://www.instahyre.com/job-282263-salesforce-developer-at-heymarket-work-from-home/,Work From Home,Heymarket,Personalized business messaging simplified,2022.0,10,"Heymarket is a business messaging platform that simplifies business conversation across time-zones and channels through its unified inbox, 1,500 businesses use this for web and mobile applications. ",282263,Salesforce,Data Integration,Java,Solution Architecture,AWS,,,,,
Senior Data Scientist,https://www.instahyre.com/job-323780-senior-data-scientist-at-clarapath-mumbai/,Mumbai,Clarapath,A medical robotics company,2014.0,10,Clarapath is a medical robotics company that assists pathologists and lab managers by standardizing microtomy and reducing variability and cross-contamination through higher-quality lab medicine in real-time. ,323780,Computer Vision,Image Processing,Python,Machine Learning,PyTorch,,,,,
AWS Administrator,https://www.instahyre.com/job-327244-aws-administrator-at-atharva-system-ahmedabad/,Ahmedabad,Atharva System,Leveraging technology to  create powerful organizations,2013.0,50,"Atharva System provides services such as mobile development, web development, open-source customization, and e-commerce solutions. They also specialize in technologies like magento, SAP, react. js, iOS, etc. ",327244,Azure,Azure Backup,Azure API Management,Azure Bot Service,Azure Blob Storage,,,,,
Data Engineer (AWS),https://www.instahyre.com/job-311442-data-engineer-aws-at-oneture-technologies-mumbai/,Mumbai,Oneture Technologies,Helping You Go Digital,2016.0,10,"Oneture Technologies delivers IT services like end to end cloud implementation, big data analytics, mobile apps & web development, open source software. It also built payment gateways for CTIL & other solutions.",311442,Data Analysis,Data Streaming,Data Warehousing,ETL,Amazon Redshift,AWS Glue,Kafka,Spark,SQL,
Director of Engineering,https://www.instahyre.com/job-326953-director-of-engineering-at-klimb-work-from-home/,Work From Home,Klimb.io,For Proactive Organisations Who Want Better Control Of Recruiting Outcomes,2015.0,10,"Klimb provides a cloud-based recruitment process management suite. Offers a product that aims to bring speed and intelligence to recruitment, and a learning platform which helps recruiters with tech hiring.",326953,Spring Boot,Java,Engineering Management,AWS,Kafka,,,,,
Business Development Representative,https://www.instahyre.com/job-303384-business-development-representative-at-shield-bangalore/,Bangalore,Shield,The mobile-first risk intelligence platform,2008.0,50,"Shield is a risk intelligence company that offers solutions for device fingerprinting, enterprise-grade protection, ad fraud prevention, and alternative credit risk intelligence to empower businesses to stop fraud. ",303384,Lead Generation,Corporate Sales,Business Development,Sales Enablement,Networking,,,,,
Senior Dot .NET Developer,https://www.instahyre.com/job-290811-senior-dot-net-developer-at-locobuzz-mumbai/,Mumbai,Locobuzz,We are an integrated marketing and customer experience platform,2015.0,50,Locobuzz is a SaaS platform that converges with a range of the latest technologies to create a 360-degree marketing automation suite to provide a complete digital customer experience for varied verticals. ,290811,.NET,Kafka,Elasticsearch,Redis,Data Warehousing,,,,,
Senior Software Engineer - II,https://www.instahyre.com/job-312697-senior-software-engineer-ii-at-makemytrip-gurgaon/,Gurgaon,MakeMyTrip,Dil to roaming hai,2000.0,1000,"Founded in 2000, MakeMyTrip pioneered the online travel industry in India. Launched its U.S. IPO in 2010 as only the fourth Indian company to do so since 1999. Currently it is building lots of new products and has also acquired several startups recently to fuel growth.",312697,Java,Hibernate,Spring,,,,,,,
Frontend Enginner,https://www.instahyre.com/job-329899-frontend-enginner-at-thoughtspot-trivandrum/,Trivandrum,ThoughtSpot,The only AI-powered analytics platform built for humans,2012.0,500,ThoughtSpot's AI driven platform allows companies to analyze data and build reports and dashboards - all in seconds - using a browser-based search interface. ,329899,Angular,CSS,HTML,JavaScript,React.js,Vue.js,jQuery,,,
Lead UX Designer,https://www.instahyre.com/job-307766-lead-ux-designer-at-cheq-2-bangalore/,Bangalore,CheQ,Enabling easy repayments and real rewards,2022.0,10,CheQ is a fintech startup that aims to make it easier for users to find and manage their credit products online by helping customers with easy repayments and rewards while encrypting all transactions. ,307766,Visual Design,UX Design,,,,,,,,
Fullstack Developer,https://www.instahyre.com/job-323746-fullstack-developer-at-synechron-dubai/,Dubai,Synechron,Digital | Business Consulting | Technology,2001.0,1000,"Synechron, formed in 2001, provides various services and solutions to the various sectors in the field of Digital, Business Consulting, Technology and Systems Integration. They have operations in 18 countries.",323746,Microservices,MongoDB,Node.js,React.js,TypeScript,,,,,
Fullstack Developer,https://www.instahyre.com/job-330006-fullstack-developer-at-sanofi-hyderabad/,Hyderabad,Sanofi,Making medicines that break the mold,2004.0,1000,"Sanofi is a global healthcare company that specializes in manufacturing vaccines for varied diseases while determining and developing drugs, producing active ingredients, and delivering finished drugs. ",330006,React.js,Node.js,JavaScript,AWS,TypeScript,,,,,
Principal Engineer,https://www.instahyre.com/job-209302-principal-engineer-at-atlassian-work-from-home/,Work From Home,Atlassian,Software Development & Collaboration tools,2002.0,1000,"Atlassian is an enterprise software firm that develops products for software developers, project managers, & content management; known for its issue tracking application, Jira, & team collaboration product, Confluence.",209302,.NET,C,C++,Golang,Java,Node.js,Python,,,
Automation Test Engineer,https://www.instahyre.com/job-315872-automation-test-engineer-at-qapitol-qa-bangalore/,Bangalore,Qapitol QA,Trusted software testing partner,2015.0,200,"Qapitol QA is a software testing and quality assurance company that offers functional and performance test automation solutions across the web, mobile apps, APIs, payment portals, data pipelines, security, etc. ",315872,REST Assured,Python,Automation Testing,pytest,Selenium,,,,,
Product Owner,https://www.instahyre.com/job-320350-product-owner-at-shuru-2-jaipur/,Jaipur,Shuru,Your self-managed technology team,2021.0,10,"Shuru is a tech firm utilizing AI, AR/VR, IoT, and Blockchain to offer services like software development, infrastructure, data management, and more to clients including Flipkart, Snapdeal, Gopay, and others. ",320350,Product Management,,,,,,,,,
Software Engineer,https://www.instahyre.com/job-321047-software-engineer-at-pluswealth-capital-management-delhi/,Delhi,PlusWealth Capital Management,"Think, tech, trade",2008.0,50,Plus Wealth is a tech-driven trading platform excelling in complex financial market products to deliver exceptional returns for investors through meticulous adherence to stochastic models and statistical inference. ,321047,C++,Java,Python,,,,,,,
Senior Data Engineer,https://www.instahyre.com/job-309924-senior-data-engineer-at-reify-health-pune/,Pune,Reify Health,A cloud-based software company,2012.0,1000,"Reify Health is a cloud-based software firm providing clinical optimization tools for patient enrollment and transformative trial infrastructure, delivering research directly to healthcare communities and patients. ",309924,AWS,Python,SQL,Big Data,Amazon S3,,,,,
Java Developer,https://www.instahyre.com/job-303948-java-developer-at-synechron-bangalore/,Bangalore,Synechron,Digital | Business Consulting | Technology,2001.0,1000,"Synechron, formed in 2001, provides various services and solutions to the various sectors in the field of Digital, Business Consulting, Technology and Systems Integration. They have operations in 18 countries.",303948,Java,Hibernate,J2EE,Spring,,,,,,
Full Stack Engineer (Java),https://www.instahyre.com/job-328465-full-stack-engineer-java-at-winwire-technologies-bangalore/,Bangalore,Winwire Technologies,Stitching the digital fabric with systems of intelligence,2006.0,200,"WinWire Technologies is an IT & Service company that provides services related to cloud, advanced analytics, IoT, mobility, security, UI/UX, AI, machine learning, etc.",328465,Java,React.js,Spring Boot,Spring,SQL,,,,,
Senior Backend Engineer (Java),https://www.instahyre.com/job-322648-senior-backend-engineer-java-at-myntra-3-bangalore/,Bangalore,Myntra,India's largest fashion and lifestyle online shopping app,2007.0,1000,"Myntra is India's leading online fashion and lifestyle e-commerce store. Founded in 2007 it was acquired by Flipkart in 2014 It has itself acquired many startups like Jabong, Native5 Exclusively. in and others. ",322648,Java,Data Structures,Algorithms,Spring Boot,Microservices,,,,,
Senior Software Developer,https://www.instahyre.com/job-323184-senior-software-developer-at-myntra-3-bangalore/,Bangalore,Myntra,India's largest fashion and lifestyle online shopping app,2007.0,1000,"Myntra is India's leading online fashion and lifestyle e-commerce store. Founded in 2007 it was acquired by Flipkart in 2014 It has itself acquired many startups like Jabong, Native5 Exclusively. in and others. ",323184,React Native,JavaScript,CSS,iOS,React.js,,,,,
Senior Software Engineer - UI Development,https://www.instahyre.com/job-271394-senior-software-engineer-ui-development-at-digit-insurance-bangalore/,Bangalore,Digit Insurance,"Bringing the change, living the change",2016.0,500,"Digit is a general insurance company that offers simplified general insurance products like insurance for cars, mobile handsets, travel, and jewelry, keeping the whole insurance process easy and hassle-free. ",271394,Angular,JavaScript,HTML,CSS,,,,,,
React Developer,https://www.instahyre.com/job-305357-react-developer-at-allen-bangalore/,Bangalore,Allen,A premier coaching institute,1988.0,1000,"Allen is a coaching institute that offers classroom, distance learning, and online courses to students who are appearing for national-level entrance exams while operating across 35+ cities nationwide. ",305357,React.js,Node.js,JavaScript,,,,,,,
